('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 16.972, 'Y : ', -28.981)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.608, 'Y : ', -10.027)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 23.118, 'Y : ', -30.945)








('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 15.132, 'Y : ', -4.424)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 16.972, 'Y : ', -28.981)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 23.118, 'Y : ', -30.945)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.744, 'Y : ', 1.592)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.608, 'Y : ', -10.027)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 22.148, 'Y : ', 14.918)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 2.241, 'Y : ', -3.069)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 8.186, 'Y : ', -10.931)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.041, 'Y : ', -0.187)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 2.241, 'Y : ', -3.069)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 8.186, 'Y : ', -10.931)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.041, 'Y : ', -0.187)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.536, 'Y : ', -0.438)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 3.843, 'Y : ', 0.19)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 2.241, 'Y : ', -3.069)




('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -2.487, 'Y : ', -4.443)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -2.487, 'Y : ', -31.456)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.611, 'Y : ', 3.933)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -2.487, 'Y : ', -4.443)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -2.487, 'Y : ', -31.456)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.611, 'Y : ', 3.933)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 4.591, 'Y : ', -7.043)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.944, 'Y : ', -6.298)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -2.487, 'Y : ', -4.443)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 7.112, 'Y : ', -29.25)
