('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 8.147, 'Y : ', -2.248)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 2.436, 'Y : ', -3.536)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 13.63, 'Y : ', -47.596)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -15.251, 'Y : ', 16.521)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.918, 'Y : ', -7.706)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 2.918, 'Y : ', -39.998)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 11.777, 'Y : ', -36.406)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 11.218, 'Y : ', -29.514)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.9, 'Y : ', 1.751)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -2.251, 'Y : ', 6.372)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 3.09, 'Y : ', 1.162)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.135, 'Y : ', -7.386)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 5.857, 'Y : ', -0.44)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -6.195, 'Y : ', 11.479)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 5.005, 'Y : ', 0.292)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 5.212, 'Y : ', -8.647)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -2.414, 'Y : ', -18.185)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.201, 'Y : ', -2.05)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.946, 'Y : ', -4.908)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 6.136, 'Y : ', -21.487)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -1.49, 'Y : ', -9.46)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.689, 'Y : ', -61.267)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.622, 'Y : ', 1.988)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.04, 'Y : ', -2.225)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.171, 'Y : ', 2.022)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -0.171, 'Y : ', 0.492)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.032, 'Y : ', -2.725)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.271, 'Y : ', -14.877)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.485, 'Y : ', 3.887)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.111, 'Y : ', -4.845)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -1.728, 'Y : ', 3.835)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -5.051, 'Y : ', 9.525)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -2.223, 'Y : ', -12.117)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.691, 'Y : ', -17.51)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -1.93, 'Y : ', 6.86)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -3.097, 'Y : ', -2.853)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -1.601, 'Y : ', 4.385)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -2.777, 'Y : ', 1.887)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.149, 'Y : ', -13.374)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -3.221, 'Y : ', 3.101)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 4.884, 'Y : ', -7.361)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 7.151, 'Y : ', -7.599)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.717, 'Y : ', 2.006)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.342, 'Y : ', -51.006)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -2.427, 'Y : ', 0.046)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 5.331, 'Y : ', -20.628)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.925, 'Y : ', 4.235)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -1.181, 'Y : ', -24.126)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -3.478, 'Y : ', -9.12)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 12.955, 'Y : ', -21.634)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.83, 'Y : ', 1.412)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 3.009, 'Y : ', -20.286)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 7.18, 'Y : ', -8.995)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.009, 'Y : ', -3.763)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.855, 'Y : ', -9.5)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 0.855, 'Y : ', -66.284)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -4.25, 'Y : ', -12.973)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.247, 'Y : ', -4.515)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -5.041, 'Y : ', 2.853)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.436, 'Y : ', -18.14)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -1.573, 'Y : ', -37.72)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -0.425, 'Y : ', -122.078)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.68, 'Y : ', -9.818)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.383, 'Y : ', -2.884)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 2.383, 'Y : ', -66.228)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.383, 'Y : ', -2.854)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -3.209, 'Y : ', -34.347)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -2.584, 'Y : ', 3.27)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -0.676, 'Y : ', -10.012)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.431, 'Y : ', 1.449)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 5.089, 'Y : ', 1.617)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.388, 'Y : ', 1.521)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -0.229, 'Y : ', -1.45)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -0.229, 'Y : ', -2.786)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 5.379, 'Y : ', -2.36)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.445, 'Y : ', 1.42)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -4.184, 'Y : ', 1.42)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.109, 'Y : ', 4.942)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -1.623, 'Y : ', 6.93)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.874, 'Y : ', 6.536)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 0.874, 'Y : ', -84.293)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.829, 'Y : ', -6.044)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.861, 'Y : ', 7.077)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -1.394, 'Y : ', -31.649)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 0.485, 'Y : ', -85.833)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 6.378, 'Y : ', -48.278)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 0.154, 'Y : ', 1.892)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -2.009, 'Y : ', 5.064)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 10.168, 'Y : ', -47.504)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 10.423, 'Y : ', 4.054)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -1.224, 'Y : ', -0.047)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -0.123, 'Y : ', -2.862)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.512, 'Y : ', -13.586)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 10.276, 'Y : ', -0.25)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.394, 'Y : ', -18.422)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 1.668, 'Y : ', -1.556)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 1.9, 'Y : ', -1.556)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 19.36, 'Y : ', -35.707)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 4.777, 'Y : ', 1.315)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.56, 'Y : ', -0.25)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 1.764, 'Y : ', -12.984)
